Company Name,Website URL,Contact Number,Location/Address,Industry/Category,Company Description,Email Address
Geeks On Site,,,,IT Services,,
AAA All Voice And Data Inc.,,,,IT Services,,
My Computer Works,,(800) 262-2219,,IT Services,"Nice support from their office thanks for everything i will visit them again for sure. Great service.""",
Geeks On Site,,(800) 531-2349,,IT Services,"From Business: If you are in a crunch, Geeks on Site can help you get things back up and running quickly with extensive PC repair service. Depending on your issue, we can…",
My Computer Works,,(877) 201-0623,,IT Services,"From Business: Our professional and polite U.S. based technicians can solve your PC or MAC problems, and their devices from the comfort of your own home. Through remote…",
Geeks on Site,,(877) 223-4607,,IT Services,"From Business: With over 20 years of experience Geeks OnSite offers everything from computer and printer repair, software sales and service, home theater installation, home…",
AAA All Voice And Data Inc.,https://api.superpages.com/xml/search?SRC=ypintfeed&subaffiliate=DXC&PGID=e02.7182.8182845904523&SPGID=1731070740103.9aa98841&ADID=11857609&DEST=https%3A%2F%2Faaa-avadny.mydex.com%2F9jX5aKjS4JQ&C=IT%20Services&T=Brooklyn&S=NY&PH=(646)%20921-7849&FL=url&TL=off&position=4&PS=30&PI=1&Results=FEED_CLCK&uid=9aa98841-084e-427b-8f19-788adaab566e&REF=&IP=49.36.139.52&UserAgent=Mozilla%2F5.0%20(Windows%20NT%2010.0%3B%20Win64%3B%20x64)%20AppleWebKit%2F537.36%20(KHTML%2C%20like%20Gecko)%20Chrome%2F58.0.3029.110%20Safari%2F537.36,(646) 921-7849,303 Avenue P Apt F7,IT Services,"Guys from AAA did great installation for us.  Quick and very neat.  Vitaly is an expert in this field.  Ask for him.""",
Jean Martin Insurance Inc,https://www.jeanmartin.com/contact.html,(833) 277-0597,"551 5Th Avenue, Suite 1425",IT Services,,
EgeekPRO INC,,(212) 388-5943,42 Broadway,IT Services,"They are just excellent. I am satisfied with their services, quality of the products and skills of repairing all kind of phones like I phones, Samsung and all latest phones.""",
SourceCom Communications,,(844) 768-7240,275 Madison Ave,IT Services,"From Business: WE ARE A BUSINESS TO BUSINESS SERVICE PROVIDER. SourceCom Communications is your source for all communication needs. Your source for cable, data, voice,…",
Computer Overhauls,http://www.computeroverhauls.com,(212) 216-9711,7 Penn Plz Ste 749,IT Services,"I was reluctant to order an overhauled computer, but when my Apple arrived right on time in perfect condition I was relieved.  This computer is amazing and I couldn't be…",
New York Computer Help - Midtown,http://www.newyorkcomputerhelp.com,(212) 599-0339,"53 E 34th St, 3rd Floor",IT Services,"Theses guys have the best tech support. They always answer all m y questions and keep my computer running perfectly!""",
TecProtocol Business Solutions,http://www.tecprotocol.com,(212) 500-6644,"353 W 48th St, Suite# 454",IT Services,"Good and Fast Service Recommended Just had some work done by Adrian and I was super satisfied with his work. I would recommend him to all my friends""",
ABC Computer Service,http://abccomputerservices.com,(212) 725-3511,15 E 40th St Rm 903,IT Services,,
Computer Guys,,(212) 414-0321,18 E 16th St,IT Services,,
Jay Shapiro Computers,https://www.jayshapirocomputers.com/contact,(877) 747-1711,1313 3rd Ave,IT Services,"From Business: At Jay Shapiro Computers, we strive to provide you with outstanding service. We have skilled technicians to help with any New York computer repair needs. Call us…",
Thirty5Tech - NYC Computer Repair,http://www.thirty5tech.com,(917) 508-6047,35 Fort Washington Ave Apt 3c,IT Services,"Pretty cool tech that know their stuff . Affordable Flat Rate""",
NY Citi Technologies,,(917) 267-9816,On-Site Services,IT Services,"Great Help desk / Desktop support when needed. You guys are the best.""",
NyITTech - Computer Repair NYC,,(718) 360-2750,360 W 57th St,IT Services,"Last week I called NyITTech‎ because my PC was broken. The people came to my house very quickly and managed to fix the problem in only a half an hour. I'm very grateful to them.""",
Mike's Tech Shop,http://www.mikestechshop.com,(212) 924-6453,120 W 20th St,IT Services,"Went here without any type of expectation or any. After having my laptop repaired, I can't believe how much it improves in terms of functionality. Really awesome.""",
Link Sys,,(646) 370-1963,303 W 42nd St Ste 52,IT Services,"Do NOT USE THIS PLACE if you don’t have an iPhone.  I cracked the glass on my Motorola Droid Razr Maxx in June, but I was able to use the device fully functionally with a…",
b4computers,http://www.b4computers.com,(718) 675-4069,28 Warren ST,IT Services,"From Business: The experts at b4computers can: *Fix problems encountered with all standard hardware and software for desktop, tower, laptop, notebook, and netbook. *We are…",
JoeNYC,http://www.joenyc.com,(212) 777-2986,77 Bleecker St Apt C2-21,IT Services,"From Business: Expert Computer Consultation Affordable, Fast and Professional (PC or Mac) Computer Pros for Computer Woes $25/hour Drop Off Service Laptop or Desktop Computer…",
Invenio IT,http://invenioit.com,(646) 395-1170,122 W 26th St,IT Services,"From Business: Based in New York, Invenio IT is an IT solutions provider for small and medium businesses. Founded in 2001, we have over 10 years of experience helping…",
NYC Data Recovery Services,http://www.datarecoverynycny.com,(212) 729-6594,373 Park Ave S,IT Services,"From Business: NYC Data Recovery Services specializes in various types of data recovery for businesses, government institutions, and homes. Their recovery services include hard…",
NIMAX,http://www.gonimax.com,(347) 788-0122,234 5th Ave Fl 405,IT Services,From Business: NiMax provides professional service for affordable prices.Â Professional - Friendly - Fast - Guaranteed,
